molecula|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
14q_a23|1|2|7.423568444|0|0|1.19796338|2|0.044138322|0.064903564|-0.5608967029999999|0.002243702|-0.058543701|10.31321757|-0.056324491|2|2|0.002496501|-0.033435987|-0.573130981|2|0.808928963|0.067394607|-0.089657283|1|0.773194598|-0.08960718|-0.096370719|-61.51997721|14.81701129|-0.039682061|-45.42467289|97.13675614|-42.23665548|79.42966327|-27.24379301|76.3369885|0.472004985|530.8381985000001|-1389.433443|2213.1193780000003|-18.70427707|16.53853737|0.893957277|6982.066379000001|-953.9181308|35.04742005|-380.8178266000001|693.3423458|0.0|1.0|1.0|0.0|2.0|2.66|26.0|-6.96|2.28|1.0|128.38|1.0|-5.21|33.0|454.51|1.0|0.0|2.62|-4.39|4.03e-05|0.0183|2.46|0.0|0.0|1.11e-07|5.03e-05|3.6431|4.19|-1798.645459|-1798.6108739999995|714.22|1222.17|340.33|340.33|554.59|0.5949|0.5949|0.4943|8375.0|-1798.433122|12.0503|7.8069
8d_a32|1|0|7.765993078999999|0|0|0.609420756|0|0.0388738739999999|0.062782795|-0.519620595|-0.006974711|-0.044765977|10.31100269|-0.0682721729999999|3|3|-0.005162219|0.002805572|-0.629535754|0|0.825978584|-0.054095278|-0.11492754|1|0.7107041559999999|-0.109612139|-0.109968322|-68.88621406|10.01177286|-0.03346862|-43.43251025|89.20994250000001|-43.2918338|81.54594837|-21.03349629|78.89798692|0.47012654|446.6450457|-967.5408291|2371.595484|-13.21859008|15.29958432|0.887243042|5523.492436|-608.0551435|29.684549600000004|-262.14980440000005|557.1050635|0.0|1.0|1.0|1.0|2.0|2.84|19.0|-7.26|1.1|1.0|110.38|1.0|-6.08|27.0|397.52|1.0|1.0|3.57|-4.36|4.36e-05|0.0173|3.17|0.0|0.0|5.51e-08|2.19e-05|3.5588|4.26|-1880.773727|-1880.733071|671.71|111.16|348.39|348.39|540.98|0.7026100000000001|0.7026100000000001|0.3018|1.0269|-1880.602038|1873.0|8.0809
4e_a49|0|1|7.535296702|1|1|1.343847746|2|0.036555556|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|0.018857363|1|1|0.000660956|-0.060391347|-0.403194204|2|0.803344301|0.0063958109999999|0.032396301|1|0.757062331|-0.09422276|-0.087866673|-57.79309816|10.51443916|-0.029288891|-33.05708028|60.11195021|-35.44835874|68.38360061|-17.96482878|68.30753733|0.471635821|464.3567821|-916.2062675|1647.641653|-11.01902676|15.01788083|0.892633982|5950.361470000001|-561.9703647000001|27.6242383|-184.4129453|620.5697596|1.0|1.0|1.0|1.0|2.0|2.89|21.0|-7.36|1.25|1.0|114.08|1.0|-3.28|30.0|399.45|0.0|1.0|2.42|-3.52|0.000305|122.0|1.71|0.0|0.0|4.35e-08|1.74e-05|5.7301|3.34|-1313.199448|-1313.158118|660.22|1128.64|327.34|216.37|504.63|0.4078199999999999|0.68043|0.0789|3.9718|-1312.98289|4.8707|7.4685
15b_a50|1|2|7.934155233999999|1|1|1.353059441|1|0.032843915|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|-0.124047802|2|2|0.005203263|-0.2185722769999999|-0.310946931|1|0.8259784720000001|0.000882622|-0.216393362|1|0.8209134840000001|-0.082576068|-0.080700307|-47.20879251|11.48191704|-0.028069672|-26.37622116|0.0|-26.98929785|60.03646705|-16.04745006|58.69070955|0.478989976|469.3167805|-738.1827030000001|1692.3273379999998|-9.174337796|13.22671714|0.919348867|5205.2135960000005|-422.0195386|25.11269883|-158.95261259999998|510.3677388|1.0|1.0|1.0|1.0|1.0|2.11|20.0|-5.72|1.66|1.0|105.46|2.0|-3.18|27.0|357.41|0.0|1.0|2.37|-3.6|0.000249|0.0891|2.11|0.0|0.0|1.92e-06|0.000687|4.0561|2.08|-1160.4989460000002|-1160.463663|613.37|1035.3|305.67|305.67|475.99|0.65917|0.65917|0.1796|6.9054|-1160.330621|9.3788|7.1024
15_a3|0|0|6.823286122000001|1|1|0.619596467|3|0.045993266|-0.182934001|-0.289938297|-0.006419472|0.126641951|10.33806279|0.021805556|0|0|-0.004459728|-0.039798975|-0.505519936|3|0.813015336|-0.103599654|0.036380489|1|0.7789088340000001|-0.092342351|-0.107619999|-47.26593592|4.04445331|-0.037667|-28.19600959|0.0|-24.19332693|60.30684851|-19.28005913|51.31038923|0.461565365|398.6887321|-771.2023653|1433.713715|-9.868603355|9.975434973|0.85723565|4617.470007|-394.7441342|22.67368656|-358.6340772|402.781061|1.0|0.0|1.0|1.0|1.0|0.0|16.0|-5.78|0.96|0.0|94.29|2.0|-2.77|23.0|321.4|0.0|0.0|1.2|-3.02|0.000951|306.0|1.28|0.0|0.0|1.66e-06|0.000535|6.0077|2.33|-1328.688126|-1328.665275|553.81|916.07|334.44|206.37|398.12|0.2843199999999999|0.67902|0.0173|1.9539|-1328.581677|2.3271|7.6021
7h_a8|0|1|7.05012252|0|0|1.391840221|0|0.04737037|-0.016074683|-0.23505152|0.00112124|-0.0873792009999999|10.94341365|0.0260356679999999|1|1|0.00084936|0.141285105|-0.382578949|0|0.7051689170000001|0.095758228|0.041366689|0|0.771011027|-0.093181899|-0.0934764819999999|-53.71230941|6.71377223|-0.041038456|-31.05895923|47.81104825|-30.96107949|58.94376531|-23.65556243|60.42608164|0.4346108389999999|444.4294792|-969.8780597|1919.19991|-13.63564064|13.42380338|0.768693264|5657.402114|-559.0612661|26.49502512|-452.8739011|446.5544107|0.0|1.0|0.0|0.0|1.0|3.2|23.0|-8.46|4.27|2.0|101.89|1.0|-5.68|28.0|373.35|0.0|1.0|4.63|-5.5|3.16e-06|0.00118|4.66|0.0|1.0|3.5e-09|1.31e-06|3.9282|6.81|-1285.182226|-1285.151298|593.53|999.62|315.62|315.62|500.94|0.6963199999999999|0.6963199999999999|0.3885|7.0847|-1285.0707960000002|9.1188|4.9788
14e_a25|0|1|6.842683282|0|0|1.4200152069999998|2|0.0389622639999999|0.0065927719999999|-0.524066339|-0.00131452|0.002856489|10.93106299|0.011176663|1|1|-0.0005394919999999|0.025802692|-0.50909623|2|0.776960216|-0.144369439|0.018432983|1|0.7240504329999999|-0.1011107469999999|-0.1004553119999999|-73.99302943|10.99497534|-0.038772226|-53.79722636|97.78313402|-54.14823405|84.60373462|-28.3735856|84.98800478|0.491527882|529.8614286999999|-1617.294379|2620.6698690000003|-20.76384175|16.63781964|0.966676175|6952.485076999999|-1183.53898|35.18345194|-448.516796|811.3237836|1.0|1.0|1.0|1.0|2.0|2.72|27.0|-9.14|1.69|1.0|134.35|1.0|-5.14|35.0|462.5|0.0|0.0|3.02|-4.73|1.86e-05|0.0085799999999999|3.04|0.0|0.0|7.31e-10|3.38e-07|5.8431|6.51|-1521.012915|-1520.964156|760.96|1300.08|312.99|212.19|596.96|0.31019|0.69958|0.0007|5.3651|-1520.767443|7.2625|7.1249
12av_a36|0|0|7.412764017000001|2|2|1.297042752|2|0.04250591|0.06882889|-0.605432791|-0.00233752|-0.021036176|10.96037173|-0.039627578|1|1|-0.000472698|-0.213993335|-0.507136551|1|0.8076780109999999|-0.018133027|-0.067408377|0|0.752447733|-0.082283524|-0.105593135|-57.31621925|15.09249582|-0.035197712|-51.2347934|124.9387725|-39.92474833|91.5101903|-24.51766365|72.40871507|0.491188387|524.1323793|-1397.506828|2354.591519|-17.07826447|17.64042914|0.965363947|6460.1184140000005|-973.4610746|36.48912989|-239.5042702|757.7532208|0.0|0.0|1.0|0.0|3.0|0.0|17.0|-6.93|1.49|1.0|138.06|1.0|-3.54|33.0|438.48|0.0|0.0|1.47|-3.64|0.000227|0.0997|1.85|0.0|0.0|1.1800000000000001e-07|5.18e-05|4.8408|4.5|-1440.988179|-1440.945099|733.21|1247.28|360.39|256.12|588.31|0.43212|0.70455|0.0027|4.7666|-1440.738332|6.1075|7.4089
26_a47|1|1|6.86171134|0|0|1.304328272|2|0.045681818|-0.110530752|-0.544056455|-0.0098410169999999|-0.046771537|10.94972213|0.0081426509999999|1|1|-0.008325552|-0.079370393|-0.5899218279999999|2|0.845040087|-0.11288313|0.0120097289999999|1|0.7104381999999999|-0.098127284|-0.101679756|-57.01987795|12.13564316|-0.038735145|-34.3326642|60.07342336|-33.13315474|73.39007585|-22.50824805|69.15552111|0.474969855|412.8219782|-945.3464183|1341.904566|-13.07911017|13.22794532|0.90465254|5994.406615|-549.3226272|31.36429668|-252.9318822|457.1122177|1.0|1.0|0.0|1.0|2.0|2.66|21.0|-7.22|2.59|1.0|104.8|1.0|-4.86|28.0|396.81|0.0|1.0|3.18|-4.56|2.77e-05|11.0|3.12|0.0|0.0|5.97e-08|2.37e-05|4.7963|4.37|-1696.096597|-1696.075481|592.84|1006.59|310.58|258.5|443.78|0.50921|0.68707|77.0|3.6825|-1695.993821|4.8242|7.9
5b_a40|0|1|8.149890544|0|1|0.604912077|0|0.044946237|-0.096549823|-0.163148971|0.008515162|0.179058252|10.31198309|0.020344828|2|2|0.006372485|0.013573521|-0.389789991|0|0.817071232|-0.400500595|0.029485257|1|0.881264402|-0.077031845|-0.091267779|-38.64461938|9.59023102|-0.036507111|-22.96968039|49.25022097|-19.38687321|52.08187888|-18.31454812|48.2348504|0.477304896|442.1045286|-549.4364437|764.9528181|-9.187872156|12.47657231|0.913161214|4813.179854|-275.6361647|22.09185326|-330.1175669|285.9136384|0.0|1.0|0.0|0.0|0.0|2.82|14.0|-5.25|2.89|1.0|84.17|2.0|-5.43|21.0|338.21|0.0|1.0|3.83|-4.84|1.44e-05|0.00488|4.14|0.0|0.0|5.65e-06|0.00191|3.9759|5.62|-2096.782087|-2096.767375|515.23|847.01|311.84|311.84|411.1|0.59928|0.59928|0.3005|7.2947|-2096.757832|9.3069|7.1938
20_a31|1|0|7.765993078999999|0|0|0.609420757|0|0.03995614|-0.013040402|-0.476400874|-0.003484915|-0.020082435|10.31100269|-0.078213611|3|3|-0.001662219|-0.1534110109999999|-0.594513619|0|0.8602874540000001|0.028036914|-0.131662689|1|0.7954270659999999|-0.085849869|-0.110195543|-53.79798102|12.1160662|-0.033537774|-43.27297051|75.10345696|-33.71260536|81.35171021|-21.01650877|65.91404723|0.464597945|498.4558574|-966.7594033|1758.762093|-13.1700345|15.48343758|0.86775525|5678.167489|-605.8215871|29.5712685|-264.0799235|557.1050635|1.0|1.0|1.0|1.0|2.0|2.74|19.0|-7.65|1.1|1.0|110.47|1.0|-5.91|27.0|397.52|1.0|1.0|3.6|-4.44|3.66e-05|0.0146|3.29|0.0|0.0|2.23e-08|8.86e-06|3.5381|4.78|-1880.768349|-1880.734655|666.67|1113.19|350.43|350.43|560.67|0.7036600000000001|0.7036600000000001|0.2011|3.7403|-1880.599777|4.9218|8.0862
19g_a38|0|0|7.412764017000001|2|2|1.297044182|2|0.042419753|-0.037579797|-0.458841138|-0.006877664|-0.009881824|10.96052467|-0.046735135|1|1|-0.004358975|-0.250781298|-0.438254637|1|0.836170906|-0.063110203|-0.076414544|0|0.7200062690000001|-0.086314802|-0.114243258|-54.62049927|14.52522351|-0.038842708|-45.74791999|18.41027014|-34.56416368|86.78105144|-24.57988703|69.14572278|0.455443492|455.6240763999999|-1228.994351|2506.378649|-15.5542928|11.62016299|0.836356715|6631.17356|-777.7146399000001|34.14148263|-278.3610963|593.6088758|1.0|1.0|1.0|1.0|3.0|2.52|17.0|-7.12|2.78|1.0|125.65|1.0|-4.25|31.0|419.43|0.0|1.0|2.97|-4.33|4.67e-05|0.0196|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|5.2766|3.66|-1431.419426|-1431.386981|638.82|1104.29|336.12|234.97|475.84|0.3937|0.69982|0.0962|5.0677|-1431.244906|6.1765|7.3778
25d_a34|0|1|7.412764017000001|1|1|1.433689841|1|0.041037037|-0.163072107|-0.8576484190000001|-0.005017781|-0.1266965|10.95957635|0.00670464|1|1|-0.001685762|-0.342090037|-0.605891389|1|0.7498681140000001|0.14554928|0.011919831|0|0.674282353|-0.100582621|-0.124111479|-66.52770588|19.36462983|-0.044492794|-54.29641443|69.64131956|-44.00298587|95.24066462|-29.42857839|85.89233572|0.478308897|445.9861716|-1559.714654|2564.887803|-19.46475234|13.29135354|0.916843118|6513.063805|-1031.631874|37.86469665|-366.6979266|673.8038326000001|1.0|1.0|1.0|1.0|2.0|3.76|23.0|-8.08|2.26|1.0|119.81|1.0|-4.61|32.0|427.46|0.0|1.0|3.21|-4.48|3.3e-05|0.0141|3.05|0.0|0.0|8.26e-09|3.53e-06|4.2732|6.05|-1426.496796|-1426.468726|706.21|1198.19|290.15|290.15|554.05|0.6764600000000001|0.6764600000000001|0.2106|6.1995|-1426.307095|8.0068|6.0223
9_a1|0|0|6.86171134|0|0|1.432397289|1|0.037578348|-0.110185988|-0.282769361|-0.00314411|-0.079063236|10.94877277|0.016589221|1|1|-0.0018191779999999|-0.093062585|-0.483335578|1|0.737794643|-0.053460262|0.02778394|0|0.755276458|-0.080888063|-0.085722429|-46.63553015|6.495805626|-0.031896718|-28.49439431|0.0|-26.88743664|57.60218193|-18.38986221|53.13133578|0.452572261|435.4501351|-790.7640749|1739.0376789999998|-10.60256533|13.91191974|0.826725116|5063.330971|-455.910309|23.52578164|-324.81308110000003|472.9447227|1.0|1.0|1.0|1.0|1.0|2.66|23.0|-8.98|2.74|2.0|102.84|1.0|-4.68|27.0|357.38|0.0|1.0|4.12|-4.79|1.62e-05|0.0057799999999999|3.76|0.0|0.0|1.04e-09|3.7100000000000003e-07|3343.0|5.6|-1187.226314|-1187.193365|600.6|1007.04|370.88|370.88|487.19|0.70296|0.70296|0.5409|4.1623|-1187.065335|6.4447|5.2218
12an_a36|0|0|7.412764017000001|2|2|0.6294007110000001|2|0.042739018|0.0966393909999999|-0.407702102|0.00285431|-0.131674913|10.33556631|-0.031635802|1|1|0.003710345|-0.133106642|-0.434819796|1|0.8344566859999999|-0.009636347|-0.055405405|0|0.836440154|-0.073519599|-0.105145528|-49.67568778|11.69727417|-0.036995649|-48.0034364|0.0|-33.56484523|81.70091433|-24.99720254|61.37296195|0.44576647|565.1654879|-1349.848937|2399.367452|-16.89009799|15.82907093|0.8042935809999999|6162.848939|-912.0652916|31.9040205|-383.1273396|725.9470896|0.0|1.0|1.0|1.0|2.0|0.0|17.0|-7.05|2.51|1.0|135.47|1.0|-4.85|31.0|427.52|0.0|0.0|2.33|-4.51|3.09e-05|0.0132|3.19|0.0|0.0|8.95e-08|3.83e-05|5.1771|3.37|-1670.452238|-1670.417726|718.98|1215.98|327.38|239.49|571.76|0.44822|0.69094|0.0644|4.3963|-1670.244686|6.2182|7.3979
12o_a30|0|0|7.412764017000001|2|2|0.604984133|2|0.040899471|-0.089996613|-0.364378536|0.00372838|0.019094532|10.31162888|-0.087019298|1|1|0.003603419|-0.090173435|-0.465857798|1|0.815003426|-0.054392357|-0.149451598|0|0.844344883|-0.076908942|-0.0975052409999999|-49.48891079|9.948252054|-0.037808155|-40.37291185|0.0|-31.84483128|71.87393121|-24.32856749|59.43716284|0.46964626|543.3140456|-1192.099807|2476.50603|-15.65480256|13.95467208|0.885533983|6542.77337|-767.0853252|29.91948755|-402.9878652|652.8825454|0.0|1.0|1.0|0.0|1.0|0.0|17.0|-7.22|3.31|2.0|132.29|1.0|-5.93|30.0|432.93|0.0|1.0|3.11|-5.44|3.61e-06|0.00156|4.49|0.0|0.0|6.03e-08|2.61e-05|5.1935|4.45|-2035.37262|-2035.338699|687.92|1162.63|356.1|238.73|528.25|0.3493699999999999|0.6854399999999999|149.0|5559.0|-2035.199757|6.8632|7.8097
4R4l_a46|0|1|7.825245291|1|1|1.134637095|1|0.049498645|-0.067419714|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|0.010799648|-0.3888343979999999|1|0.726535412|-0.001318857|-0.229089688|0|0.896653672|-0.090505744|-0.084697739|-49.12015477|3.844966512|-0.02989332|-24.94818681|0.0|-26.65896664|49.44228224|-16.223992300000003|52.96512128|0.4568839389999999|486.6405745|-827.4236073|1766.0974600000002|-8.805242402000001|10.43942503|0.8412270820000001|4923.057044|-449.0673625|18.4720714|-410.6276419|579.2365607|1.0|1.0|1.0|1.0|1.0|3.24|17.0|-7.0|3.06|1.0|105.77|1.0|-5.28|26.0|347.45|0.0|1.0|4.09|-5.11|7.78e-06|0.0027|4.49|0.0|0.0|9.980000000000001e-08|3.47e-05|4.6497|4.99|-1092.75416|-1092.728268|584.44|1038.78|301.29|266.65|498.78|0.40548|0.67823|0.0851|2.1973|-1092.544322|2.3035|6.8633
9i_a24|0|1|7.153833802|0|0|1.4281889280000002|2|0.023854167|-0.076024544|-0.190487553|0.004814196|-0.087363979|10.96661275|-0.00532872|2|2|0.005891639|-0.336939175|-0.32068769|2|0.822658951|0.139004845|-0.0106944439999999|0|0.8260893640000001|-0.064657333|-0.069812876|-30.56504777|11.87389334|-0.024639839|-15.60091656|1.634015079|-14.44881966|51.05832236|-11.64783344|42.43894111|0.468272544|390.5119445|-396.0263368|761.9885477000001|-5.506205845|11.18382556|0.8806627109999999|4155.922671|-187.2109987|23.33121014|0.720157264|295.8603625|1.0|0.0|1.0|1.0|1.0|1.36|22.0|-6.05|0.67|0.0|82.17|1.0|-2.6|22.0|288.31|0.0|0.0|1.73|-3.1|0.000791|228.0|1.48|0.0|0.0|8.95e-07|0.000258|4.6212|1.13|-945.286637|-945.2626532|501.48|825.7|299.06|268.3|363.15|0.58977|0.6755800000000001|0.0029|7.1135|-945.222448|9.2818|7.0555
7l_a46|0|1|7.727094485|1|1|1.160371354|2|0.04006734|-0.203375108|-0.038903382|0.013150047|-0.074511843|10.9642261|0.050638298|1|1|0.0125870169999999|-0.143129469|-0.1082221709999999|2|0.7746144629999999|-0.1237456669999999|0.076724694|0|0.907148114|-0.0565894359999999|-0.06289606|-27.30136533|5.5935102720000005|-0.022013621|-14.63933792|51.39110437|-13.17144326|38.22273917|-10.620390400000002|32.8948756|0.46327253|437.65027010000006|-424.8156159|1246.417766|-5.1237682730000005|9.825660656|0.863142947|4046.614178|-204.9507309|15.74158869|-168.5385796|375.721552|1.0|0.0|1.0|1.0|0.0|2.64|17.0|-6.29|1.89|0.0|86.96|1.0|-3.18|22.0|290.36|0.0|1.0|2.86|-3.72|0.0001889999999999|0.0548|2.61|0.0|0.0|5.19e-07|0.000151|4.5464|2.42|-915.6081232|-915.5830363|517.29|879.87|272.71|272.71|414.82|0.68834|0.68834|0.2024|3.3119|-915.493986|3.9009|5.7122
9h_a24|0|1|7.153833802|0|0|1.428198245|2|0.023854167|0.078066659|-0.105982525|0.013595277|-0.209618231|10.96661419|-0.002471577|2|2|0.012380829|-0.047269812|-0.207206943|2|0.78742035|0.183289617|-0.004960317|0|0.883775278|-0.060337884|-0.0687348109999999|-28.52000725|8.724425117000001|-0.026280957|-15.35662744|1.773520599|-13.48059881|47.51520531|-12.42226332|37.24443236|0.477589721|417.7355164|-422.3569529|768.1954692|-5.871651668999999|11.11300329|0.914204295|4170.098082|-199.6361567|21.70315707|-68.41568372|295.8603625|0.0|0.0|1.0|1.0|1.0|1.96|22.0|-6.05|1.07|0.0|82.17|1.0|-2.83|22.0|288.31|0.0|1.0|1.97|-3.24|0.000575|166.0|1.7|0.0|0.0|8.95e-07|0.000258|5.1739|1.16|-945.2642633|-945.2337612|506.68|831.92|285.43|239.63|363.48|0.54606|0.61928|0.0073|5.6654|-945.200628|7.7741|7.1135
5a_a40|0|1|8.149890544|0|1|0.604913477|0|0.0388888889999999|-0.108428634|-0.152120625|0.011345707|0.180125135|10.31198338|-0.02394636|2|2|0.010425818|0.007301856|-0.363338726|0|0.756882266|-0.442215721|-0.0395444479999999|1|0.8531783270000001|-0.078132307|-0.090991462|-34.5789643|9.135164355|-0.036396585|-17.82228195|52.43850484|-15.30358975|46.06507254|-16.10801287|43.71412865|0.4889874279999999|377.5905776|-483.24038600000006|508.8362301|-7.128912782|10.7779923|0.956899016|3736.248815|-213.8673835|19.58503709|-285.426492|244.8873477|0.0|1.0|0.0|1.0|0.0|2.49|14.0|-4.05|1.85|0.0|74.15|2.0|-4.13|19.0|269.32|0.0|1.0|2.8|-3.67|0.000213|0.0574|2.88|0.0|0.0|8.950000000000001e-05|0.0241|3.7921|4.36|-1177.598691|-1177.5835470000002|466.79|757.45|326.96|326.96|353.51|0.69499|0.69499|0.4461|5.7163|-1177.555706|7.6003|7.0915
14i_a23|1|2|7.423568444|0|0|1.197963212|2|0.0432555559999999|0.040408197|-0.558153376|0.002243702|-0.018541856|10.31321758|-0.026731172|2|2|0.002496501|-0.033435987|-0.569707595|2|0.8025091329999999|0.158023239|-0.04255066|1|0.777952733|-0.0889593869999999|-0.096562208|-60.8283953|14.65077903|-0.039760909|-45.14777443|93.48624142|-41.59306642|79.20815775|-27.18760085|75.47917433|0.478050606|531.9462982|-1386.567643|2447.1741030000003|-18.59026006|15.53342127|0.915894552|7030.347905|-948.103263|34.94120504|-380.3109456|693.3423458|0.0|1.0|1.0|0.0|2.0|2.64|26.0|-6.96|2.28|1.0|128.38|1.0|-5.21|33.0|454.51|1.0|0.0|2.61|-4.39|4.03e-05|0.0183|2.46|0.0|0.0|1.11e-07|5.03e-05|3.6931|4.64|-1798.64228|-1798.608335|715.68|1224.02|335.72|335.72|580.74|0.55606|0.55606|0.3639|5.9563|-1798.434186|8.3755|8.4622
19_a34|0|1|7.412764017000001|1|1|1.438829424|1|0.044107744|-0.189862762|-0.5357267960000001|-0.00802652|-0.143343425|10.95957634|-0.014196676|1|1|-0.0042364759999999|-0.401414514|-0.469568766|1|0.8022000659999999|0.08178394|-0.0235903339999999|0|0.6399024520000001|-0.112877411|-0.1255804019999999|-56.30608209|19.74799697|-0.039656969|-31.24772528|470.4453529|-28.08688512|77.38527508|-19.78189027|76.05407906|0.467358389|319.1993829|-751.7118302|1537.244187|-9.86770272|10.31797048|0.877434994|4496.516479|-374.9727034|29.86894781|-161.90813300000002|337.9440349|1.0|0.0|1.0|1.0|1.0|2.77|17.0|-5.03|1.08|0.0|83.95|2.0|-2.73|23.0|309.32|0.0|1.0|2.1|-3.15|0.000704|218.0|1.66|0.0|0.0|9.42e-06|0.00291|4.1721|2.7|-1046.606458|-1046.5747720000002|538.96|882.87|297.18|297.18|421.62|0.6897300000000001|0.6897300000000001|0.2189|3.4272|-1046.509891|5.0441|6.0044
12bf_a36|0|0|7.412764017000001|2|2|1.297043948|2|0.044197531|0.140577067|-0.4497470879999999|-0.006877664|-0.096665166|10.96022305|-0.0206090089999999|1|1|-0.004358975|-0.250781298|-0.433281391|1|0.836170906|-0.0480253509999999|-0.033696875|0|0.6791406640000001|-0.090461753|-0.110255801|-58.26326838|14.01562806|-0.037486972|-45.73631152|0.0|-37.52534442|86.28460578|-24.14405495|72.27889645|0.474826911|437.4108773|-1207.2027480000002|2522.341812|-15.55034592|14.37031118|0.904134124|6271.550446|-777.5172959|34.22402339|-264.6734075|593.6088758|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-7.12|2.78|1.0|123.67|1.0|-3.99|31.0|417.41|0.0|0.0|2.44|-4.32|4.81e-05|0.0201|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|5.2319|3.66|-1431.413697|-1431.380702|670.85|1120.94|320.04|236.98|517.66|0.40663|0.69292|0.4006|5.4787|-1431.246893|7.5932|8.2218
3m_a32|1|0|7.773594467000001|0|1|0.609420748|0|0.03962963|-0.0370712179999999|-0.3082152019999999|-0.000514191|-0.084132138|10.31100268|-0.078038283|3|3|0.000822186|-0.086806406|-0.49476131|0|0.817967125|-0.0067207069999999|-0.126422018|1|0.798023273|-0.084626325|-0.09390309|-50.60363458|8.029854976000001|-0.027127559|-33.57626169|0.0|-30.25923462|67.1606709|-16.22134838|58.63348955|0.4687361229999999|477.1904954|-729.9606772999999|2363.601309|-9.699808932|13.31775015|0.882303773|5724.714257|-436.4914018999999|24.05057475|-208.6520032|554.9424306|0.0|1.0|1.0|1.0|1.0|2.93|19.0|-7.38|1.74|2.0|110.36|1.0|-5.94|27.0|394.51|0.0|1.0|4.12|-4.86|1.39e-05|0.00547|3.57|0.0|0.0|4.190000000000001e-08|1.65e-05|3.5749|5.1|-1863.502681|-1863.46877|641.52|1073.31|346.82|346.82|484.34|0.7026600000000001|0.7026600000000001|0.2952|5082.0|-1863.337677|8.0755|7.6383
16_a3|0|0|6.823286122000001|0|0|0.605020428|2|0.045993266|0.027762972|-0.371147877|-0.010377537|-0.013328983|10.31163046|-0.018884246|1|1|-0.008409607|0.008045619|-0.614173961|2|0.767641592|-0.142670655|-0.031683873|1|0.6974791290000001|-0.108919585|-0.100138414|-53.7971544|6.027544549|-0.041233465|-24.42909382|82.16042286|-26.57128935|56.56724056|-20.36587865|59.82469895|0.484889078|344.4962834|-692.4398741|1290.305313|-10.05903863|11.22152755|0.941329444|4733.033232|-342.00731349999995|24.54661368|-325.670405|328.71459869999995|1.0|1.0|1.0|1.0|1.0|2.59|21.0|-7.16|2.26|0.0|90.44|1.0|-4.98|23.0|322.36|0.0|1.0|3.5|-4.49|3.2200000000000003e-05|0.0104|3.35|0.0|0.0|6.97e-08|2.25e-05|3.2208|3.19|-1371.388717|-1371.360243|520.28|856.09|384.94|384.94|368.22|0.6944100000000001|0.6944100000000001|0.3866|2.8688|-1371.297964|3613.0|7.3768
